"date","city","price_index","source"
2024-05-01,"Kitchener-Cambridge-Waterloo",155.3,"StatCan NHPI 18-10-0205-01"
2024-06-01,"Kitchener-Cambridge-Waterloo",154.9,"StatCan NHPI 18-10-0205-01"
2024-07-01,"Kitchener-Cambridge-Waterloo",154.2,"StatCan NHPI 18-10-0205-01"
2024-08-01,"Kitchener-Cambridge-Waterloo",154,"StatCan NHPI 18-10-0205-01"
2024-09-01,"Kitchener-Cambridge-Waterloo",154.1,"StatCan NHPI 18-10-0205-01"
2024-10-01,"Kitchener-Cambridge-Waterloo",154.3,"StatCan NHPI 18-10-0205-01"
2024-11-01,"Kitchener-Cambridge-Waterloo",154.7,"StatCan NHPI 18-10-0205-01"
2024-12-01,"Kitchener-Cambridge-Waterloo",154.6,"StatCan NHPI 18-10-0205-01"
2016-01-01,"London",97.3,"StatCan NHPI 18-10-0205-01"
2016-02-01,"London",97.6,"StatCan NHPI 18-10-0205-01"
2016-03-01,"London",98.4,"StatCan NHPI 18-10-0205-01"
2016-04-01,"London",98.3,"StatCan NHPI 18-10-0205-01"
2016-05-01,"London",98.3,"StatCan NHPI 18-10-0205-01"
2016-06-01,"London",98.3,"StatCan NHPI 18-10-0205-01"
2016-07-01,"London",98.2,"StatCan NHPI 18-10-0205-01"
2016-08-01,"London",98.6,"StatCan NHPI 18-10-0205-01"
2016-09-01,"London",98.8,"StatCan NHPI 18-10-0205-01"
2016-10-01,"London",98.8,"StatCan NHPI 18-10-0205-01"
2016-11-01,"London",100.1,"StatCan NHPI 18-10-0205-01"
2016-12-01,"London",100,"StatCan NHPI 18-10-0205-01"
2017-01-01,"London",100.9,"StatCan NHPI 18-10-0205-01"
2017-02-01,"London",101,"StatCan NHPI 18-10-0205-01"
2017-03-01,"London",101.2,"StatCan NHPI 18-10-0205-01"
2017-04-01,"London",103.2,"StatCan NHPI 18-10-0205-01"
2017-05-01,"London",104.7,"StatCan NHPI 18-10-0205-01"
2017-06-01,"London",104.6,"StatCan NHPI 18-10-0205-01"
2017-07-01,"London",105.5,"StatCan NHPI 18-10-0205-01"
2017-08-01,"London",106.6,"StatCan NHPI 18-10-0205-01"
2017-09-01,"London",106.8,"StatCan NHPI 18-10-0205-01"
2017-10-01,"London",106.8,"StatCan NHPI 18-10-0205-01"
2017-11-01,"London",107.2,"StatCan NHPI 18-10-0205-01"
2017-12-01,"London",107.3,"StatCan NHPI 18-10-0205-01"
2018-01-01,"London",107.8,"StatCan NHPI 18-10-0205-01"
2018-02-01,"London",108.2,"StatCan NHPI 18-10-0205-01"
