"date","city","housing_starts","series_label","source"
2016-03-01,"Ottawa-Gatineau",3.735,"Total units","3410015601-eng.csv"
2016-04-01,"Ottawa-Gatineau",4.083,"Total units","3410015601-eng.csv"
2016-05-01,"Ottawa-Gatineau",6.084,"Total units","3410015601-eng.csv"
2016-06-01,"Ottawa-Gatineau",5.392,"Total units","3410015601-eng.csv"
2016-07-01,"Ottawa-Gatineau",4.551,"Total units","3410015601-eng.csv"
2016-08-01,"Ottawa-Gatineau",5.758,"Total units","3410015601-eng.csv"
2016-09-01,"Ottawa-Gatineau",8.2,"Total units","3410015601-eng.csv"
2016-10-01,"Ottawa-Gatineau",6.814,"Total units","3410015601-eng.csv"
2016-11-01,"Ottawa-Gatineau",4.204,"Total units","3410015601-eng.csv"
2016-12-01,"Ottawa-Gatineau",5.979,"Total units","3410015601-eng.csv"
2017-01-01,"Ottawa-Gatineau",7.882,"Total units","3410015601-eng.csv"
2017-02-01,"Ottawa-Gatineau",9.397,"Total units","3410015601-eng.csv"
2017-03-01,"Ottawa-Gatineau",3.51,"Total units","3410015601-eng.csv"
2017-04-01,"Ottawa-Gatineau",5.683,"Total units","3410015601-eng.csv"
2017-05-01,"Ottawa-Gatineau",7.035,"Total units","3410015601-eng.csv"
2017-06-01,"Ottawa-Gatineau",6.583,"Total units","3410015601-eng.csv"
2017-07-01,"Ottawa-Gatineau",9.14,"Total units","3410015601-eng.csv"
2017-08-01,"Ottawa-Gatineau",7.091,"Total units","3410015601-eng.csv"
2017-09-01,"Ottawa-Gatineau",7.62,"Total units","3410015601-eng.csv"
2017-10-01,"Ottawa-Gatineau",5.764,"Total units","3410015601-eng.csv"
2017-11-01,"Ottawa-Gatineau",11.21,"Total units","3410015601-eng.csv"
2017-12-01,"Ottawa-Gatineau",9.39,"Total units","3410015601-eng.csv"
2018-01-01,"Ottawa-Gatineau",6.718,"Total units","3410015601-eng.csv"
2018-02-01,"Ottawa-Gatineau",2.421,"Total units","3410015601-eng.csv"
2018-03-01,"Ottawa-Gatineau",5.601,"Total units","3410015601-eng.csv"
2018-04-01,"Ottawa-Gatineau",6.734,"Total units","3410015601-eng.csv"
2018-05-01,"Ottawa-Gatineau",6.323,"Total units","3410015601-eng.csv"
2018-06-01,"Ottawa-Gatineau",10.338,"Total units","3410015601-eng.csv"
2018-07-01,"Ottawa-Gatineau",6.078,"Total units","3410015601-eng.csv"
2018-08-01,"Ottawa-Gatineau",10.681,"Total units","3410015601-eng.csv"
2018-09-01,"Ottawa-Gatineau",6.673,"Total units","3410015601-eng.csv"
2018-10-01,"Ottawa-Gatineau",16.293,"Total units","3410015601-eng.csv"
2018-11-01,"Ottawa-Gatineau",6.691,"Total units","3410015601-eng.csv"
2018-12-01,"Ottawa-Gatineau",5.459,"Total units","3410015601-eng.csv"
2019-01-01,"Ottawa-Gatineau",3.28,"Total units","3410015601-eng.csv"
2019-02-01,"Ottawa-Gatineau",9.469,"Total units","3410015601-eng.csv"
2019-03-01,"Ottawa-Gatineau",3.844,"Total units","3410015601-eng.csv"
2019-04-01,"Ottawa-Gatineau",6.349,"Total units","3410015601-eng.csv"
2019-05-01,"Ottawa-Gatineau",7.455,"Total units","3410015601-eng.csv"
