EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2015,Q1,Feb,--,Ontario,Public Institution,Université de Hearst
2024,Q2,Jun,--,Ontario,Private Institution,Central Health Institute Inc
2020,Q4,Nov,--,Ontario,Private Institution,Gestalt Institute of Toronto
2024,Q1,Mar,280,Ontario,Private Institution,North American Business College of Sciences and Language
2024,Q1,Feb,--,Ontario,Private Institution,International Beauty Institute
2022,Q3,Aug,--,Ontario,Private Institution,Oakleaf College of Business And Technology
2020,Q1,Feb,--,Ontario,Private Institution,Ontario Institute of Health and Innovation
2017,Q4,Oct,170,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2024,Q1,Jan,980,Ontario,Public Institution,Centennial College
2024,Q2,Jun,180,Ontario,Private Institution,Yorkville University - Toronto Film School
2024,Q2,May,465,Ontario,Public Institution,Centennial College
2022,Q2,Jun,60,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2022,Q3,Jul,--,Ontario,Private Institution,Canadian International Career College
2019,Q3,Jul,--,Ontario,Private Institution,Canadian Beauty College
2016,Q3,Aug,--,Ontario,Private Institution,Kikkawa College
2025,Q2,Apr,--,Ontario,Private Institution,Renison University College
2021,Q3,Aug,5,Ontario,Private Institution,International Language Academy of Canada
2015,Q3,Jul,--,Ontario,Private Institution,Academy of Learning College - Toronto
2015,Q4,Oct,--,Ontario,Private Institution,Harris Institute for The Arts
2017,Q3,Jul,--,Ontario,Private Institution,Ethnos Canada
2018,Q4,Nov,5,Ontario,Private Institution,Academy of Learning Career and Business College - Etobicoke
2020,Q1,Mar,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2023,Q3,Sep,--,Ontario,Private Institution,Business and Technical Training College
2017,Q1,Mar,5,Ontario,Private Institution,Eastview College Business Health Technology
2024,Q4,Nov,--,Ontario,Private Institution,McMaster Divinity College
2020,Q4,Dec,--,Ontario,Private Institution,Brampton Flight Centre
2025,Q4,Oct,--,Ontario,Private Institution,Quest Language Studies
2020,Q2,May,--,Ontario,Private Institution,Canadian Beauty College
2020,Q3,Sep,10,Ontario,Private Institution,Université Saint-Paul St Paul University
2023,Q3,Jul,--,Ontario,Public Institution,The Michener Institute for Applied Health Sciences
2021,Q4,Dec,--,Ontario,Private Institution,CultureWorks ESL Inc
2025,Q2,Jun,10,Ontario,Private Institution,Flair College of Management and Technology
2023,Q4,Nov,10,Ontario,Public Institution,Université de Hearst
2019,Q1,Feb,10,Ontario,Private Institution,IBT College
2017,Q3,Aug,5,Ontario,Private Institution,CMU College of Makeup Art and Design
2021,Q4,Nov,30,Ontario,Public Institution,Sault College
2024,Q1,Feb,--,Ontario,Private Institution,Canada Christian College
2022,Q3,Jul,--,Ontario,Private Institution,Pharma-Medical Science College of Canada
